Startup Name,City,Industry Vertical,Amount in USD,Investor Name,Date
Flipkart,Bangalore,E-commerce,2000000000,Tiger Global,2016-01-12
Ola,Bangalore,Transport,1500000000,SoftBank,2017-06-23
Paytm,Noida,Fintech,2200000000,Alibaba,2018-03-15
Zomato,Gurgaon,FoodTech,1000000000,Ant Financial,2017-08-02
Byju's,Bangalore,EdTech,1200000000,Sequoia Capital,2018-09-10
Swiggy,Bangalore,FoodTech,800000000,Naspers,2018-12-19
Snapdeal,Delhi,E-commerce,700000000,SoftBank,2016-05-20
Freshworks,Chennai,SaaS,400000000,Accel Partners,2019-02-14
Delhivery,Gurgaon,Logistics,600000000,Carlyle Group,2020-07-19
PolicyBazaar,Gurgaon,Fintech,500000000,SoftBank,2021-04-21
AIWorks,Bangalore,AI/ML,250000000,Sequoia Capital,2018-07-12
BrainTech,Hyderabad,AI/ML,320000000,Accel Partners,2020-03-25
SmartAI,Mumbai,AI/ML,150000000,SoftBank,2021-11-08
VisionX,Delhi,AI/ML,500000000,Lightspeed,2023-05-17
NeuroEdge,Pune,AI/ML,400000000,Tiger Global,2024-09-28
DeepSphere,Bangalore,AI/ML,600000000,Kalaari Capital,2025-01-16
MedAI,Bangalore,AI/ML,480000000,Accel Partners,2022-04-29
FinTechX,Mumbai,Fintech,450000000,Sequoia Capital,2022-06-05
MobiPay,Mumbai,Fintech,510000000,Tiger Global,2023-08-09
GreenFuel,Chennai,CleanTech,300000000,Accel Partners,2019-08-20
EduNext,Delhi,EdTech,220000000,Matrix Partners,2017-02-14
ShopHub,Bangalore,E-commerce,370000000,SoftBank,2016-10-05
Foodify,Hyderabad,FoodTech,180000000,Kalaari Capital,2015-06-22
AgroSmart,Pune,AgriTech,260000000,Lightspeed,2020-12-11
CloudEdge,Hyderabad,SaaS,340000000,Sequoia Capital,2019-09-30
